"","country","total_requests","total_requests_accounts","search_warrant","search_warrant_accounts","subpoena","subpoena_accounts","nsls","nsls_accounts","year","half"
"1","United States",NA,NA,NA,NA,NA,NA,NA,NA,2013,1
"2","United States",12598,18715,"5,814","9,122","5,379","7,943",NA,NA,2013,2
"3","United States",15433,23667,"7,669","12,222","6,087","9,488",NA,NA,2014,1
"4","United States",14274,21731,"7,924","12,403","4,638","7,278",NA,NA,2014,2
"5","United States",17577,26579,"9,737","15,013","5,375","8,475",NA,NA,2015,1
"6","United States",19235,30041,"11,128","17,703","5,288","8,134",NA,NA,2015,2
"7","United States",23854,38951,"13,742","21,626","6,526","12,447",NA,NA,2016,1
"8","United States",26014,41492,"14,736","23,199","6,536","11,935",NA,NA,2016,2
"9","United States",32716,52280,"19,393","30,786","7,632","13,622",NA,NA,2017,1
"10","United States",32742,53625,"19,659","31,801","7,203","13,672",NA,NA,2017,2
"11","United States",42466,70528,"23,801","38,080","9,369","17,491",NA,NA,2018,1
"12","United States",41336,63622,"23,801","36,652","8,360","13,728",NA,NA,2018,2
"13","United States",50741,82461,"29,603","46,088","9,079","17,816",NA,NA,2019,1
"14","United States",51121,82321,"29,096","44,114","8,682","17,493",NA,NA,2019,2
"15","United States",61528,106114,"35,856","55,002","10,245","23,399",NA,NA,2020,1
"16","United States",61262,102271,"33,584","51,394","10,534","21,740",NA,NA,2020,2
"17","United States",63657,111117,"33,531","51,325","11,926","26,601",NA,NA,2021,1
