,country,total_requests,total_requests_accounts,year,half
69,United States,5652,12979,2013,2
72,United States,6919,15730,2014,1
60,United States,5445,13101,2014,2
68,United States,5940,13570,2015,1
63,United States,5297,12355,2015,2
67,United States,5168,13755,2016,1
61,United States,4739,10533,2016,2
64,United States,5401,12936,2017,1
60,United States,3984,10138,2017,2
55,United States,4948,14015,2018,1
54,United States,4369,11134,2018,2
56,United States,4860,14273,2019,1
56,United States,4315,12993,2019,2
52,United States,5507,17717,2020,1
49,United States,5682,16348,2020,2
52,United States,6392,14195,2021,1
