Time period start,total_requests,total_requests_accounts,country,half,year,time,accounts_per_request,site
2013-07-01,833,1323.0,United States,2,2013,Jul-Dec 2013,1.588235294117647,Twitter
2014-01-01,1257,1918.0,United States,1,2014,Jan-Jun 2014,1.5258552108194112,Twitter
2014-07-01,1622,3299.0,United States,2,2014,Jul-Dec 2014,2.033908754623921,Twitter
2015-01-01,2436,6324.0,United States,1,2015,Jan-Jun 2015,2.5960591133004924,Twitter
2015-07-01,2673,7435.0,United States,2,2015,Jul-Dec 2015,2.781518892630004,Twitter
2016-01-01,2520,8009.0,United States,1,2016,Jan-Jun 2016,3.178174603174603,Twitter
2016-07-01,2304,5618.0,United States,2,2016,Jul-Dec 2016,2.4383680555555554,Twitter
2017-01-01,2111,4594.0,United States,1,2017,Jan-Jun 2017,2.1762198010421603,Twitter
2017-07-01,1761,8176.0,United States,2,2017,Jul-Dec 2017,4.642816581487791,Twitter
2018-01-01,2231,9226.0,United States,1,2018,Jan-Jun 2018,4.135365307037203,Twitter
2018-07-01,2092,3861.0,United States,2,2018,Jul-Dec 2018,1.845602294455067,Twitter
2019-01-01,2120,4150.0,United States,1,2019,Jan-Jun 2019,1.9575471698113207,Twitter
2019-07-01,2271,8970.0,United States,2,2019,Jul-Dec 2019,3.949801849405548,Twitter
2020-01-01,3429,9965.0,United States,1,2020,Jan-Jun 2020,2.906095071449402,Twitter
2020-07-01,3243,31080.0,United States,2,2020,Jul-Dec 2020,9.583718778908418,Twitter
