National Security Letter (NSL) number,NSL issue date,FBI release letter date
NSL-19-494513,2019-09-10,2022-01-06
NSL-17-429683,2017-05-08,2021-12-28
NSL-15-413278,2015-03-20,2021-12-16
NSL-15-415945,2015-06-24,2021-12-16
NSL-16-426304,2016-11-28,2021-12-16
NSL-21-527897,2021-04-25,2021-11-30
NSL-20-509924,2020-03-31,2021-10-06
NSL-19-489668,2019-07-11,2021-09-16
NSL-19-501392,2019-11-05,2021-09-16
NSL-15-414420,2015-04-27,2021-09-03
NSL-19-499418,2019-10-09,2021-08-18
NSL-18-448908,2018-05-16,2021-08-16
NSL-18-455369,2018-09-10,2021-07-27
NSL-18-461230,2018-11-21,2021-07-27
NSL-14-398382,2014-10-29,2021-07-21
NSL-11-325536,2011-03-08,2021-07-19
NSL-12-349927,2012-05-09,2021-07-19
NSL-13-370091,2013-07-10,2021-06-28
NSL-13-376261,2013-11-14,2021-06-28
NSL-21-532552,2021-03-04,2021-06-08
NSL-19-472409,2019-04-16,2021-05-28
NSL-19-496252,2019-10-03,2021-05-17
NSL-17-431485,2017-08-06,2021-04-29
NSL-19-480569,2019-05-20,2021-04-26
NSL-13-377056,2013-12-11,2021-04-22
NSL-14-385446,2014-04-25,2021-04-22
NSL-12-357019,2012-10-26,2021-03-30
NSL-19-470447,2019-02-12,2021-03-29
NSL-12-346362,2012-02-15,2021-03-26
NSL-13-368998,2013-06-18,2021-03-26
NSL-17-435703,2017-12-26,2021-03-26
NSL-15-416625,2015-08-20,2021-03-17
NSL-16-423497,2016-07-22,2021-02-21
NSL-20-508593,2020-03-12,2021-02-12
NSL-18-456329,2018-09-04,2021-02-11
NSL-18-462728,2018-11-07,2021-02-11
NSL-20-508552,2020-05-14,2021-02-05
NSL-19-473948,2019-07-07,2021-02-03
NSL-12-356022,2012-10-01,2021-01-20
NSL-12-357569,2012-11-14,2021-01-20
NSL-15-412886,2015-03-16,2021-01-06
NSL-17-432056,2017-09-18,2021-01-04
NSL-18-440140,2018-03-29,2021-01-04
NSL-18-440570,2018-03-02,2020-12-17
