Reporting period ending date,Number of requests (range MIN),Number of requests (range MAX),Number of accounts (range MIN),Number of accounts (range MAX)
2020-12-31,0,499,1500,1999
2020-06-30,6,499,1000,1499
2019-12-31,500,999,1500,1999
2019-06-30,500,999,1000,1499
2018-12-31,19,499,1000,1499
2018-06-30,9,499,1000,1499
2017-12-31,15,499,1500,1999
2017-06-30,7,499,1000,1499
2016-12-31,4,499,1000,1499
2016-06-30,12,499,500,999
2015-12-31,7,499,500,999
2015-06-30,9,499,500,999
2014-12-31,12,499,500,999
2014-06-30,500,999,500,999
2013-12-31,500,999,1000,1499
2013-06-30,3,499,500,999
2012-12-31,3,499,500,999
2012-06-30,500,999,1000,1499
2011-12-31,0,499,500,999
2011-06-30,1,499,500,999
2010-12-31,1,499,1000,1499
2010-06-30,500,999,1500,1999
2009-12-31,1,499,500,999
2009-06-30,0,499,500,999
